,trainer_id,dnf,n_horses,n_starts,dnf_pct,smoothed_dnf_pct,smoothed_dnf_percentile
3396,253599,0,3,6,0.0,0.00486958894428304,42.0
3397,253700,0,15,148,0.0,0.0041072760094485955,89.0
3398,253719,5,63,628,0.007961783439490446,0.006290639231622728,8.0
3399,253736,0,1,2,0.0,0.00489518186661937,34.0
3400,253763,2,46,222,0.009009009009009009,0.005836039408617116,15.0
3401,253845,1,50,290,0.0034482758620689655,0.004504543463431845,75.0
3402,253897,0,1,3,0.0,0.004888758448917394,37.0
3403,253926,5,125,750,0.006666666666666667,0.005782080301992624,16.0
3404,253980,0,1,1,0.0,0.004901622186190927,30.0
3405,254002,4,89,702,0.005698005698005698,0.005287611607075383,23.0
3406,254023,0,2,11,0.0,0.004837971673292491,49.0
3407,254033,0,10,36,0.0,0.004685850213238839,65.0
3408,254163,2,51,234,0.008547008547008548,0.005765519196083268,16.0
3409,254229,0,54,268,0.0,0.003627399709404412,96.0
3410,254268,0,9,46,0.0,0.0046276469448118035,69.0
3411,254856,0,2,29,0.0,0.004727471365784771,61.0
3412,254961,0,3,3,0.0,0.004888758448917394,37.0
3413,254977,4,26,143,0.027972027972027972,0.008564219886505691,1.0
3414,255060,1,5,64,0.015625,0.005741388312553357,16.0
3415,255091,0,2,2,0.0,0.00489518186661937,34.0
3416,255109,0,17,32,0.0,0.00470954353555471,63.0
3417,255156,1,22,179,0.00558659217877095,0.005037549558319211,27.0
3418,255201,1,7,10,0.1,0.006144510850179287,9.0
3419,255220,0,8,8,0.0,0.0048568925748884075,45.0
3420,255235,0,8,83,0.0,0.004424314498249,79.0
3421,255258,0,1,1,0.0,0.004901622186190927,30.0
3422,255315,0,10,73,0.0,0.004477486006714546,76.0
3423,255343,4,76,532,0.007518796992481203,0.005983843756827336,12.0
3424,255346,5,85,282,0.01773049645390071,0.008381308016883969,1.0
3425,255349,2,70,234,0.008547008547008548,0.005765519196083268,16.0
3426,255465,2,28,156,0.01282051282051282,0.006256961128733378,8.0
3427,255480,0,2,8,0.0,0.0048568925748884075,45.0
3428,255496,2,57,161,0.012422360248447204,0.00622295899830361,8.0
3429,255500,0,1,2,0.0,0.00489518186661937,34.0
3430,255563,0,11,58,0.0,0.004559683572151916,72.0
3431,255571,1,15,104,0.009615384615384616,0.005475301100982942,20.0
3432,255642,0,4,27,0.0,0.004739499274324685,60.0
3433,255664,0,1,2,0.0,0.00489518186661937,34.0
3434,255716,3,121,821,0.0036540803897685747,0.00425651066523906,84.0
3435,255757,0,31,119,0.0,0.00424292481558253,85.0
3436,255771,0,7,26,0.0,0.00474553620940934,60.0
3437,255814,0,3,15,0.0,0.004812971938850562,52.0
3438,255817,2,9,27,0.07407407407407407,0.007283757633447924,3.0
3439,255963,0,21,147,0.0,0.004111809007949118,89.0
3440,256090,0,19,66,0.0,0.004515472943574064,74.0
3441,256115,0,1,2,0.0,0.00489518186661937,34.0
3442,256144,2,28,178,0.011235955056179775,0.0061100658767319245,10.0
3443,256232,7,11,83,0.08433734939759036,0.012737027451470049,0.0
3444,256246,14,21,104,0.1346153846153846,0.020537571592477617,0.0
3445,256275,0,2,4,0.0,0.004882351866636706,39.0
3446,256276,1,6,18,0.05555555555555555,0.006081253716597111,11.0
3447,256279,1,1,3,0.3333333333333333,0.006200950289179331,9.0
3448,256321,0,1,14,0.0,0.004819197619199635,51.0
3449,256374,0,39,204,0.0,0.003868452053807735,93.0
3450,256408,0,3,9,0.0,0.004850569185085622,46.0
3451,256507,0,2,13,0.0,0.004825439426506,50.0
3452,256517,3,106,673,0.004457652303120356,0.004696403656636942,64.0
3453,256564,1,20,189,0.005291005291005291,0.004984415540617049,27.0
3454,256589,1,4,31,0.03225806451612903,0.005981193053040846,12.0
3455,256599,0,1,1,0.0,0.004901622186190927,30.0
3456,256629,2,17,136,0.014705882352941176,0.00639676841595321,7.0
3457,256646,0,18,105,0.0,0.004311669253286209,83.0
3458,256721,0,17,29,0.0,0.004727471365784771,61.0
3459,256752,0,3,7,0.0,0.004863232473043695,43.0
3460,256929,0,21,86,0.0,0.004408608428368353,79.0
3461,256930,0,3,5,0.0,0.00487596205367687,40.0
3462,257028,3,13,177,0.01694915254237288,0.007184873691790791,4.0
3463,257152,2,36,151,0.013245033112582781,0.006291336874587668,8.0
3464,257200,54,87,459,0.11764705882352941,0.04739053936908887,0.0
3465,257205,0,3,12,0.0,0.004831697423513651,49.0
3466,257295,0,9,29,0.0,0.004727471365784771,61.0
3467,257318,7,43,278,0.025179856115107913,0.010342119136661382,1.0
3468,257352,4,107,582,0.006872852233676976,0.0057607464288925965,16.0
3469,257372,0,36,116,0.0,0.0042574705951324565,84.0
3470,257388,0,69,375,0.0,0.003285157093424474,98.0
3471,257455,2,48,471,0.004246284501061571,0.0046546776653370436,67.0
3472,257465,1,17,69,0.014492753623188406,0.005706721597221012,17.0
3473,257483,0,10,38,0.0,0.004674092727117118,66.0
3474,257551,0,31,162,0.0,0.0040448475192492415,90.0
